title,img_src,link,author,publisher,price
흑기사를 조심하세요,https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345420, 레슬리 켈리,신영미디어,"4,680원(-10%)"
중독자의 죽음,https://bookthumb-phinf.pstatic.net/cover/163/489/16348995.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348995, M.C. 비턴,현대문학,"8,820원(-10%)"
이레(케이 스릴러),https://bookthumb-phinf.pstatic.net/cover/163/386/16338607.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338607, 김달리,고즈넉이엔티,"12,150원(-10%)"
행복배틀(케이 스릴러),https://bookthumb-phinf.pstatic.net/cover/163/386/16338610.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338610, 주영하,고즈넉이엔티,"12,150원(-10%)"
소설 소태산,https://bookthumb-phinf.pstatic.net/cover/163/483/16348364.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348364, 이혜화,북바이북,"19,800원(-10%)"
깨어나지 말 걸 그랬어(케이 스릴러),https://bookthumb-phinf.pstatic.net/cover/163/385/16338584.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338584, 김하림,고즈넉이엔티,"12,150원(-10%)"
마귀(케이 스릴러),https://bookthumb-phinf.pstatic.net/cover/163/385/16338587.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338587, 전건우,고즈넉이엔티,"12,150원(-10%)"
말괄량이 사이코패스(케이 스릴러),https://bookthumb-phinf.pstatic.net/cover/163/385/16338590.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338590, 기윤슬,고즈넉이엔티,"11,250원(-10%)"
비행엄마(케이 스릴러),https://bookthumb-phinf.pstatic.net/cover/163/385/16338596.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338596, 이지은,고즈넉이엔티,"11,250원(-10%)"
사라진 나라의 아이들(케이 스릴러),https://bookthumb-phinf.pstatic.net/cover/163/386/16338604.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338604, 이성진,고즈넉이엔티,"12,150원(-10%)"
꿈의 노벨레,https://bookthumb-phinf.pstatic.net/cover/163/492/16349272.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349272, 아르투어 슈니츨러,문학과지성사,"8,100원(-10%)"
꽃잎처럼,https://bookthumb-phinf.pstatic.net/cover/163/487/16348795.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348795, 정도상,다산책방,"12,600원(-10%)"
모래 사나이,https://bookthumb-phinf.pstatic.net/cover/163/492/16349275.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349275, E.T.A. 호프만,문학과지성사,"9,000원(-10%)"
버지니아 울프 단편소설 전집(버지니아 울프 전집 10),https://bookthumb-phinf.pstatic.net/cover/163/419/16341940.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16341940, 버지니아 울프,솔,"17,100원(-10%)"
아! 남궁세가. 3,https://bookthumb-phinf.pstatic.net/cover/163/491/16349156.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349156, 풍백,영상출판미디어(영상노트),"7,200원(-10%)"
잭 the 뱀파이어,https://bookthumb-phinf.pstatic.net/cover/163/491/16349145.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349145, 박지선,들녘,"12,600원(-10%)"
실비/오렐리아,https://bookthumb-phinf.pstatic.net/cover/163/492/16349281.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349281, 제라르 드 네르발,문학과지성사,"9,000원(-10%)"
삼국지 1,https://bookthumb-phinf.pstatic.net/cover/163/450/16345002.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345002, 나관중,우리책,"16,200원(-10%)"
게을러서 차원최강. 6,https://bookthumb-phinf.pstatic.net/cover/163/491/16349157.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349157, 고랭지,영상출판미디어(영상노트),"7,200원(-10%)"
다행인지 불행인지 1,https://bookthumb-phinf.pstatic.net/cover/163/388/16338820.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338820, 노희다,연담,"11,700원(-10%)"
다행인지 불행인지 2,https://bookthumb-phinf.pstatic.net/cover/163/388/16338821.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338821, 노희다,연담,"11,700원(-10%)"
삼국지 2,https://bookthumb-phinf.pstatic.net/cover/163/450/16345005.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345005, 나관중,우리책,"14,400원(-10%)"
다행인지 불행인지 3,https://bookthumb-phinf.pstatic.net/cover/163/388/16338825.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338825, 노희다,연담,"11,700원(-10%)"
첫사랑,https://bookthumb-phinf.pstatic.net/cover/163/492/16349268.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349268, 사뮈엘 베케트,문학과지성사,"8,100원(-10%)"
다행인지 불행인지 4/완결,https://bookthumb-phinf.pstatic.net/cover/163/388/16338826.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338826, 노희다,연담,"11,700원(-10%)"
나의 할머니에게,https://bookthumb-phinf.pstatic.net/cover/163/474/16347469.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347469, 윤성희,다산책방,"13,320원(-10%)"
모자,https://bookthumb-phinf.pstatic.net/cover/163/492/16349271.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349271, 토마스 베른하르트,문학과지성사,"9,000원(-10%)"
다행인지 불행인지 1~4 - 전4권,https://bookthumb-phinf.pstatic.net/cover/163/388/16338828.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338828, 노희다,연담,"46,800원(-10%)"
전쟁과 사랑,https://bookthumb-phinf.pstatic.net/cover/163/499/16349954.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349954, 엔도 슈사쿠,바오로딸,"18,900원(-10%)"
레이첼의 죽음으로부터,https://bookthumb-phinf.pstatic.net/cover/163/392/16339264.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339264, 플린 베리,작가정신,"12,600원(-10%)"
푸른 고양이(푸른사상 소설선 27),https://bookthumb-phinf.pstatic.net/cover/163/486/16348602.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348602, 송지은,푸른사상,"13,500원(-10%)"
천산갑,https://bookthumb-phinf.pstatic.net/cover/163/490/16349034.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349034, 정문,바른북스,"11,700원(-10%)"
케미컬 연애학,https://bookthumb-phinf.pstatic.net/cover/163/483/16348361.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348361, 소상난소월,부크크(Bookk),"9,000원"
15만번의 챌린저 13,https://bookthumb-phinf.pstatic.net/cover/163/490/16349061.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349061, 예정후,로크미디어,"7,200원(-10%)"
HEIDI - 알프스 소녀 하이디 (영문원서),https://bookthumb-phinf.pstatic.net/cover/163/483/16348388.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348388, 요하나 슈피리 (Johanna Spyri),부크크(Bookk),"19,300원"
회귀자의 그랜드슬램 16,https://bookthumb-phinf.pstatic.net/cover/163/490/16349063.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349063, mensol,로크미디어,"7,200원(-10%)"
할 말이 있어,https://bookthumb-phinf.pstatic.net/cover/163/484/16348409.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348409, 김민주,부크크(Bookk),"10,000원"
아닌 척 했지만,https://bookthumb-phinf.pstatic.net/cover/163/483/16348343.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348343, 김보영,부크크(Bookk),"13,000원"
한 번쯤은 이야기해보고 싶었어,https://bookthumb-phinf.pstatic.net/cover/163/483/16348345.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348345, 곽은용,부크크(Bookk),"14,000원"
가장 보통의 글,https://bookthumb-phinf.pstatic.net/cover/163/483/16348347.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348347, 김지윤,부크크(Bookk),"13,500원"
계단 끝에 다락방,https://bookthumb-phinf.pstatic.net/cover/163/483/16348351.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348351, 김계현,부크크(Bookk),"12,000원"
두 번 사는 랭커 18,https://bookthumb-phinf.pstatic.net/cover/163/490/16349003.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349003, 사도연,드림북스,"7,200원(-10%)"
"같은 시간, 다른 장소",https://bookthumb-phinf.pstatic.net/cover/163/483/16348352.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348352, 김민경,부크크(Bookk),"13,500원"
두 번 사는 랭커 19,https://bookthumb-phinf.pstatic.net/cover/163/490/16349007.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349007, 사도연,드림북스,"7,200원(-10%)"
"세 개의 단어, 그리고 십 분",https://bookthumb-phinf.pstatic.net/cover/163/425/16342511.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16342511, 박지현,아홉프레스,"12,600원(-10%)"
모팽 양(이삭줍기 환상문학 3),https://bookthumb-phinf.pstatic.net/cover/163/454/16345483.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345483, 테오필 고티에,열림원,"13,500원(-10%)"
리옴빠,https://bookthumb-phinf.pstatic.net/cover/163/454/16345496.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345496, 유리 올레샤,미행,"15,300원(-10%)"
카구야 프로젝트,https://bookthumb-phinf.pstatic.net/cover/163/403/16340354.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340354, 원샨,아작,"13,320원(-10%)"
엔딩 보게 해주세요,https://bookthumb-phinf.pstatic.net/cover/163/013/16301362.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16301362, 김보영,요다,"12,600원(-10%)"
밤 끝으로의 여행,https://bookthumb-phinf.pstatic.net/cover/163/400/16340053.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340053, 루이 훼르디낭 쎌린느,최측의농간,"25,200원(-10%)"
어쩌다 신데렐라,https://bookthumb-phinf.pstatic.net/cover/163/477/16347775.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347775, 이준호,부크크(Bookk),"12,200원"
오 헨리 단편선(2020년 리커버)(개정판),https://bookthumb-phinf.pstatic.net/cover/163/445/16344571.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16344571, 오 헨리,책만드는집,"11,520원(-10%)"
"서른다섯, 다시 시작해",https://bookthumb-phinf.pstatic.net/cover/163/293/16329358.jpg?type=m1&udate=Mon May 11 18:20:56 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329358, 강혁모,마음세상,"11,880원(-10%)"
만년만에 귀환한 플레이어 10,https://bookthumb-phinf.pstatic.net/cover/163/475/16347558.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347558, 나비계곡,위시북스,"7,200원(-10%)"
닐라칸타 Nilakantha,https://bookthumb-phinf.pstatic.net/cover/163/435/16343546.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16343546, 장량,세니오,"16,200원(-10%)"
그들의 변명,https://bookthumb-phinf.pstatic.net/cover/163/475/16347566.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347566, 원윤경,부크크(Bookk),"20,000원"
Dream of The Moon,https://bookthumb-phinf.pstatic.net/cover/163/475/16347567.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347567, 김우진,부크크(Bookk),"12,300원"
파리의 동쪽,https://bookthumb-phinf.pstatic.net/cover/163/474/16347415.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347415, 니콜라 보코브,스틸로그라프,"16,200원(-10%)"
십자가 벌판,https://bookthumb-phinf.pstatic.net/cover/163/457/16345747.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345747, 까를로스 알폰소,재남,"13,500원(-10%)"
겐지 이야기 2,https://bookthumb-phinf.pstatic.net/cover/163/242/16324208.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16324208, 무라사키 시키부,동서문화사,"14,400원(-10%)"
달뜨기 마을,https://bookthumb-phinf.pstatic.net/cover/163/392/16339255.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339255, 안재성,목선재,"12,420원(-10%)"
겐지 이야기 3,https://bookthumb-phinf.pstatic.net/cover/163/242/16324210.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16324210, 무라사키 시키부,동서문화사,"14,400원(-10%)"
페스트(미니북),https://bookthumb-phinf.pstatic.net/cover/163/475/16347541.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347541, 알베르 카뮈,자화상,"5,850원(-10%)"
페스트,https://bookthumb-phinf.pstatic.net/cover/163/475/16347543.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347543, 알베르 카뮈,자화상,"10,620원(-10%)"
변혁 1998. 4: 변혁 2부,https://bookthumb-phinf.pstatic.net/cover/163/488/16348859.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348859, 천지무천,청어람,"7,200원(-10%)"
호랑이 눈썹,https://bookthumb-phinf.pstatic.net/cover/163/475/16347546.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347546, 손석춘,단비,"11,700원(-10%)"
곱세크,https://bookthumb-phinf.pstatic.net/cover/163/474/16347401.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347401, 오노레 드 발자크,꿈꾼문고,"10,350원(-10%)"
시절과 기분,https://bookthumb-phinf.pstatic.net/cover/163/435/16343515.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16343515, 김봉곤,창비,"12,600원(-10%)"
겐지 이야기 1,https://bookthumb-phinf.pstatic.net/cover/163/242/16324205.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16324205, 무라사키 시키부,동서문화사,"14,400원(-10%)"
맥티그,https://bookthumb-phinf.pstatic.net/cover/163/382/16338281.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338281, 프랭크 노리스,을유문화사,"14,400원(-10%)"
마녀환상곡 하,https://bookthumb-phinf.pstatic.net/cover/163/490/16349029.jpg?type=m1&udate=Mon May 11 18:20:57 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349029, 꼬리별,바른북스,"12,150원(-10%)"
